,전국스크린수,expert_rating,running_times,audience_rating,rating_audiences,director_power
280,162,0.0,68,8.451612903225808,155,1206342.0
688,638,6.11,98,9.294964028776981,417,720292.0
375,104,5.0,88,9.636363636363637,11,162432.0
665,1285,6.83,143,8.768219832735962,1674,22415560.0
589,1117,5.63,125,8.568734793187348,1644,12181628.0
423,526,0.0,90,8.393939393939394,561,2017230.0
581,925,4.67,101,8.142000000000001,500,1314274.0
89,337,2.0,89,6.859375,64,73549.0
80,180,6.03,120,8.55072463768116,138,90416.0
573,1249,5.17,120,8.192719486081371,934,10168360.0
907,388,7.2,170,7.625,80,442366.0
463,319,0.0,84,8.74074074074074,27,834015.0
30,536,5.78,120,7.703703703703702,216,1781389.0
10,665,7.32,120,8.889208633093526,695,2023958.0
310,659,0.0,81,7.713203463203462,924,7858350.0
182,309,6.0,106,9.382716049382717,81,56515.0
753,1307,5.71,110,8.780757097791797,634,4123013.0
456,167,0.0,57,8.269841269841269,63,1206342.0
496,1107,7.75,152,7.827302631578947,608,2555968.0
397,952,6.5,117,7.878773125608567,2054,4460383.0
664,1180,6.5,114,8.820384294068505,1197,5262812.0
157,252,7.0,109,9.0625,80,161843.0
546,183,6.86,113,9.404761904761905,42,81680.0
754,1203,5.86,135,9.29086389061529,1609,2812310.0
77,343,5.0,80,7.263157894736843,114,98495.0
769,991,5.67,114,7.934210526315789,456,862203.0
1,966,5.81,126,8.246200607902736,329,5334561.0
232,176,6.8,134,10.0,1,1239593.0
175,117,6.15,105,8.741935483870968,62,76343.0
398,1054,5.63,114,8.079252003561887,1123,1634403.0
370,406,0.0,60,8.42,100,63800.0
694,536,6.33,104,8.932584269662922,356,490307.0
615,422,7.13,127,7.54,150,442366.0
308,790,6.72,100,8.590727418065548,1251,4978770.0
4,811,5.85,125,8.172131147540982,610,10168360.0
432,434,0.0,89,8.943722943722943,231,604097.0
198,661,7.2,108,9.311522048364154,703,20567355.0
116,648,5.47,127,8.1991341991342,693,2053085.0
286,1788,7.1,118,8.546636279226808,11847,35729066.0
502,733,4.0,89,7.569288389513107,267,1682006.0
204,924,7.02,106,8.67259056732741,1463,4889524.0
431,532,6.0,114,8.589655172413794,290,232016.0
174,297,0.0,106,7.724137931034483,58,77621.0
543,121,0.0,107,8.0,1,90643.0
911,202,0.0,85,9.0,1,63784.0
71,297,5.0,115,8.293233082706767,133,403465.0
213,499,7.5,110,9.383582089552238,670,5052135.0
202,1036,6.89,106,8.60940536338904,2573,9043454.0
900,431,5.0,119,8.277777777777779,54,5161781.0
853,1405,4.78,129,8.244784422809456,719,12882255.0
119,892,7.08,139,8.371273712737128,738,12181628.0
177,219,0.0,95,9.707792207792208,154,63954.0
722,189,5.4,100,9.44255319148936,235,1214936.0
284,353,3.0,88,6.55,40,54972.0
340,440,6.92,93,5.224334600760456,263,35729066.0
13,709,4.0,118,8.06051437216339,661,1891993.0
227,526,6.16,116,8.732394366197184,355,3319476.0
843,1511,4.83,114,8.485527544351074,1071,5429882.0
318,754,4.67,121,8.2,610,4302393.0
779,532,4.75,122,8.566666666666666,240,1239593.0
567,1576,5.86,117,9.184284617353466,3907,12043900.0
846,1073,6.33,109,8.914076782449728,547,2917213.0
457,396,4.0,132,8.492537313432836,67,72849.0
549,370,0.0,58,8.866666666666667,60,65895.0
522,437,0.0,92,8.88,100,2272485.0
459,375,5.0,133,9.025316455696204,158,915475.0
488,1308,5.83,120,8.01030303030303,1650,8426762.0
199,1171,7.68,144,7.559087204563978,3681,386200.0
817,540,6.5,126,7.847457627118644,59,88054.0
783,797,6.0,111,9.25212947189097,587,6578341.0
129,566,5.47,106,8.036036036036036,333,2380561.0
90,260,7.17,118,7.8,55,2255313.0
824,169,6.0,112,8.77310924369748,119,273159.0
126,535,6.45,121,8.3125,240,4302393.0
279,310,7.6,124,8.64102564102564,39,58784.0
163,340,5.17,117,7.945652173913044,92,687277.0
111,949,7.09,117,8.691348402182385,1283,11127668.0
652,262,0.0,75,8.179487179487179,78,35919.0
706,227,5.0,107,9.439655172413792,116,267785.0
372,282,0.0,103,8.975806451612904,124,225239.0
889,601,5.0,121,9.256410256410255,78,184421.0
667,816,7.6,101,9.121428571428572,700,2949944.0
675,1351,5.2,121,6.8256097560975615,820,17234182.0
643,536,0.0,87,6.9861111111111125,72,0.0
924,68,9.11,209,8.870588235294116,85,809305.0
72,384,5.5,110,5.9,80,1281925.0
2,706,7.58,128,8.548387096774192,31,17202955.0
317,562,5.5,126,8.880952380952381,882,703024.0
347,317,6.94,111,8.457943925233645,107,1736767.0
288,1105,7.21,126,8.660829649778988,5882,10247082.0
12,776,5.81,102,8.428093645484951,598,2191793.0
309,767,5.44,111,8.872954764196342,1039,2335092.0
682,824,4.5,96,7.4427333974975936,1039,1011580.0
857,990,5.17,111,8.467213114754099,366,1176076.0
