,title,director,distributor,distributor_group,release_date,release_season,nation,screen,genre,rate,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,director_power,sequel,original,actor_power,before_news,after_news
0,인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),B,7/9/2015,summer,미국,777,애니메이션,전체관람가,7.88,"에이미 포엘러,필리스 스미스,민디 캘링",102,9.113006397000001,938,4968687.0,0,0,14906061,15150.0,384.0
1,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,와이드 릴리즈(주),D,6/2/2016,summer,영국,162,애니메이션,전체관람가,0.0,"하성용,정재헌,엄상현",68,8.451612903,155,1206342.0,1,1,26048880,11.0,8.0
2,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,씨제이이앤엠(주),A,7/25/2018,summer,한국,762,애니메이션,전체관람가,6.0,"조현정,김영은,김채하",68,8.859649122999999,912,678091.0,1,1,13907061,739.0,236.0
3,순종,"김동민,이주훈","(재)CBS,(주)영화사 안다미로",C,11/17/2016,autumn,한국,104,다큐멘터리,전체관람가,5.0,"김영화,김은혜,한성국",88,9.636363636,11,162432.0,1,0,0,48048.0,105.0
4,인크레더블 2,브래드 버드,월트디즈니컴퍼니코리아 유한책임회사,B,7/18/2018,summer,미국,1605,애니메이션,전체관람가,7.33,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터",125,9.346312243,2671,3564540.0,1,0,245078391,8398.0,584.0
5,마녀,박훈정,워너브러더스 코리아(주),B,6/27/2018,summer,한국,1117,미스터리,15세이상관람가,5.63,"김다미,조민수,박희순",125,8.568734792999999,1644,12181628.0,0,0,41258819,231244.0,1127.0
6,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,(주)이수C&E,B,1/4/2017,winter,기타,526,애니메이션,전체관람가,0.0,"박지윤,엄상현,남도형",90,8.393939394,561,2017230.0,1,1,32456725,650.0,45.0
7,사라진 밤,이창희,씨네그루(주)키다리이엔티,B,3/7/2018,spring,한국,925,스릴러,15세이상관람가,4.67,"김상경,김강우,김희애",101,8.142000000000001,500,1314274.0,0,1,37893555,49342.0,610.0
8,위자,스틸즈 화이트,유니버설픽쳐스인터내셔널 코리아(유),B,4/16/2015,spring,미국,337,미스터리,15세이상관람가,2.0,"올리비아 쿡,다렌 카가소프,아나 코토",89,6.859375,64,73549.0,1,0,17256206,85563.0,289.0
9,심야식당,마츠오카 조지,(주)영화사 진진,D,6/18/2015,summer,일본,180,드라마,12세이상관람가,6.03,"코바야시 카오루,오다기리 죠",120,8.550724638,138,90416.0,1,0,180832,12055.0,277.0
10,조선명탐정: 흡혈괴마의 비밀,김석윤,(주)쇼박스,C,2/8/2018,winter,한국,1249,사극,12세이상관람가,5.17,"김명민,오달수,김지원",120,8.192719486,934,10168360.0,1,0,287934834,5235.0,689.0
11,미드소마,아리 애스터,(주)팝엔터테인먼트,D,7/11/2019,summer,미국,388,공포,청소년관람불가,7.2,"플로렌스 퓨,잭 레이너,윌 폴터",170,7.625,80,442366.0,0,0,531981,554.0,181.0
12,꼬마참새 리차드: 아프리카 원정대,"토비 젠켈,레자 메마리",씨네그루(주)키다리이엔티,B,6/15/2017,summer,기타,319,애니메이션,전체관람가,0.0,"김서영,구민선",84,8.740740741,27,834015.0,0,0,4066096,56.0,10.0
13,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),B,3/12/2015,spring,미국,536,액션,15세이상관람가,5.78,"휴 잭맨,샬토 코플리,시고니 위버",120,7.703703704,216,1781389.0,1,0,80127868,1814.0,312.0
14,스파이,폴 페이그,이십세기폭스코리아(주),B,5/21/2015,spring,미국,665,액션,15세이상관람가,7.32,"멜리사 맥카시,주드 로,제이슨 스타뎀",120,8.889208632999999,695,2023958.0,0,0,25277599,140257.0,517.0
15,라이트 아웃,데이비드 F. 샌드버그,워너브러더스 코리아(주),B,8/24/2016,summer,미국,659,공포,15세이상관람가,0.0,"테레사 팔머,앨리시아 벨라 베일리,가브리엘 베이트먼",81,7.713203462999999,924,7858350.0,1,0,15380073,1329.0,160.0
16,대니 콜린스,댄 포겔맨,"(주)나이너스엔터테인먼트,(주)지어소프트",D,9/30/2015,autumn,미국,309,드라마,15세이상관람가,6.0,"알 파치노,아네트 베닝,제니퍼 가너",106,9.382716048999999,81,56515.0,0,0,10100832,228.0,43.0
17,말모이,엄유나,롯데컬처웍스(주)롯데엔터테인먼트,A,1/9/2019,winter,한국,1203,드라마,12세이상관람가,5.86,"유해진,윤계상",135,9.290863891,1609,2812310.0,0,1,538220670,9148.0,785.0
18,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,와이드 릴리즈(주),D,6/1/2017,summer,영국,167,애니메이션,전체관람가,0.0,"하성용,정재헌,엄상현",57,8.26984127,63,1206342.0,1,1,26048880,27.0,10.0
19,스타워즈: 라스트 제다이,라이언 존슨,월트디즈니컴퍼니코리아 유한책임회사,B,12/14/2017,winter,미국,1107,액션,12세이상관람가,7.75,"데이지 리들리,마크 해밀,아담 드라이버",152,7.827302632,608,2555968.0,0,1,22080146,3080.0,722.0
20,23 아이덴티티,M. 나이트 샤말란,유니버설픽쳐스인터내셔널 코리아(유),B,2/22/2017,winter,미국,952,스릴러,15세이상관람가,6.5,"제임스 맥어보이,안야 테일러 조이",117,7.878773126,2054,4460383.0,1,0,79149529,7547.0,377.0
21,아쿠아맨,제임스 완,워너브러더스 코리아(주),B,12/19/2018,winter,미국,1285,액션,12세이상관람가,6.83,"제이슨 모모아,앰버 허드,니콜 키드먼",143,8.768219833,1674,22415560.0,0,1,63960059,9328.0,871.0
22,우먼 인 골드,사이먼 커티스,(주)팝엔터테인먼트,D,7/9/2015,summer,미국,252,드라마,12세이상관람가,7.0,"헬렌 미렌,라이언 레이놀즈,다니엘 브륄",109,9.0625,80,161843.0,1,0,62751921,597.0,50.0
23,원더,스티븐 크보스키,CGV아트하우스,A,12/27/2017,winter,미국,183,드라마,전체관람가,6.86,"제이콥 트렘블레이,줄리아 로버츠,오웬 윌슨",113,9.404761905,42,81680.0,1,0,1889502,253244.0,335.0
24,증인,이한,롯데컬처웍스(주)롯데엔터테인먼트,A,2/13/2019,winter,한국,1047,드라마,12세이상관람가,6.0,"정우성,김향기",129,9.216358839,758,6268514.0,0,0,219614635,482648.0,2064.0
25,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,A,4/30/2015,spring,미국,343,애니메이션,전체관람가,5.0,"엄상현,조현정,숀 애스틴",80,7.263157895,114,98495.0,0,0,26941802,417.0,68.0
26,맨 인 블랙: 인터내셔널,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트,A,6/12/2019,summer,미국,1151,액션,12세이상관람가,4.86,"크리스 헴스워스,테사 톰슨",115,7.008333333,240,8247867.0,1,0,262611213,1866.0,578.0
27,국제시장,윤제균,씨제이이앤엠(주),A,12/17/2014,winter,한국,966,드라마,12세이상관람가,5.81,"황정민,김윤진,오달수",126,9.272090988626422,1143,5334561.0,0,0,608444941,316242.0,1617.0
