,영화명,before,after
0,어벤져스: 에이지 오브 울트론,"32,336건","2,100건"
1,국제시장,"316,242건","1,617건"
2,킹스맨 : 시크릿 에이전트,"9,350건",380건
3,쥬라기 월드,"12,612건",708건
4,조선명탐정 : 사라진 놉의 딸,"7,703건",630건
5,매드 맥스: 분노의 도로,"6,721건",481건
6,분노의 질주: 더 세븐,"4,256건",397건
7,스물,"36,656건","1,108건"
8,빅 히어로,"12,583건",465건
9,극비수사,"17,268건",996건
10,스파이,"140,257건",517건
11,강남 1970,"36,033건","1,825건"
12,악의 연대기,"12,252건",530건
13,오늘의 연애,"43,397건","1,239건"
14,연평해전,"43,519건","3,607건"
15,테이큰 3,"4,959건",313건
16,이미테이션 게임,"3,397건",810건
17,샌 안드레아스,"2,578건",306건
18,쎄시봉,"19,168건","1,154건"
19,위플래쉬,"6,367건",340건
20,마다가스카의 펭귄,"1,209건",309건
21,차이나타운,"48,861건",660건
22,장수상회,"13,498건",544건
23,간신,"25,750건",864건
24,박물관이 살아있다 : 비밀의 무덤,868건,256건
25,허삼관,"12,669건","1,147건"
26,"님아, 그 강을 건너지 마오","8,360건",62건
27,살인의뢰,"38,108건",885건
28,기술자들,"192,373건","1,106건"
29,신데렐라,"105,099건",464건
30,채피,"1,814건",312건
31,헬머니,"3,654건",282건
32,도라에몽 : 스탠 바이 미,661건,120건
33,위험한 상견례 2,"8,608건",930건
34,순수의 시대,"13,996건",756건
35,무뢰한,"14,947건",548건
36,내 심장을 쏴라,"7,297건",409건
37,그레이의 50가지 그림자,"3,754건",385건
38,홈,"3,716,165건","8,765건"
39,경성학교: 사라진 소녀들,"7,236건",432건
40,아메리칸 스나이퍼,"1,740건",144건
41,호빗: 다섯 군대 전투,"1,671건",422건
42,스폰지밥 3D,544건,63건
43,주피터 어센딩,"1,518건",211건
44,패딩턴,"2,010건",139건
45,오즈의 마법사: 돌아온 도로시,539건,67건
46,런 올 나이트,784건,129건
47,다이노 타임,"1,168건",114건
48,인서전트,709건,182건
49,소수의견,"123,601건",768건
50,백 투 더 비기닝,406건,115건
51,투모로우랜드,"4,031건",122건
52,개를 훔치는 완벽한 방법,"7,798건",164건
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,124건,40건
54,언브로큰,"1,139건",168건
55,소셜포비아,"9,307건",281건
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,91건,42건
57,언프렌디드: 친구삭제,271건,103건
58,노아의 방주: 남겨진 녀석들,217건,92건
59,연애의 맛,"60,197건",390건
60,버드맨,"5,199건",283건
61,기생수 파트1,389건,59건
62,인터스텔라,747건,5건
63,최강전사 미니특공대 : 새로운 악당의 습격,79건,14건
64,아메리칸 셰프,"3,021건",24건
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,165건,52건
66,워킹걸,"8,609건",581건
67,은밀한 유혹,"7,897건",317건
68,화장,"1,833,134건","4,512건"
69,워터 디바이너,"2,134건",80건
70,눈의 여왕 2: 트롤의 마법거울,578건,63건
71,19곰 테드 2,761건,109건
72,나의 절친 악당들,"6,258건",311건
73,존 윅,"6,408건",70건
74,상의원,"13,812건",685건
75,스틸 앨리스,"3,285건",72건
76,더 건맨,580건,97건
77,빌리와 용감한 녀석들 3,417건,68건
78,7번째 아들,"2,983건",92건
79,포커스,"521,289건","1,670건"
80,심야식당,"12,055건",277건
81,빅 아이즈,"7,417건",83건
82,와일드,"194,492건",296건
83,더 이퀄라이저,"2,592건",50건
84,세인트 빈센트,"2,566건",65건
85,모데카이,733건,41건
86,엑스 마키나,"1,359건",37건
87,타임 패러독스,563건,40건
88,피치 퍼펙트: 언프리티 걸즈,184건,45건
89,위자,"85,563건",289건
90,기생수 파트2,331건,34건
91,위아영,"5,935건",83건
92,드래곤 블레이드,"4,815건",53건
93,나이트 크롤러,"1,072건",49건
94,더 라스트: 나루토 더 무비,51건,9건
95,바다 탐험대 옥토넛 스페셜,55건,13건
96,엘리노어 릭비: 그 남자 그 여자,200건,43건
97,송 원,"23,812건",100건
98,한 번 더 해피엔딩,"21,567건",64건
99,약장수,"5,934건",182건
100,베테랑,"521,334건","2,307건"
101,암살,"201,928건","1,966건"
102,내부자들,"77,079건",898건
103,사도,"163,121건","1,745건"
104,미션 임파서블: 로그네이션,"7,659건","3,205건"
105,검은 사제들,"26,079건","1,638건"
106,히말라야,"84,447건","1,532건"
107,인사이드 아웃,"15,150건",384건
108,마션,"9,183건",505건
109,인턴,"973,358건","4,392건"
110,터미네이터 제니시스,"7,819건","2,606건"
111,앤트맨,"11,052건",342건
112,스타워즈: 깨어난 포스,"9,637건","1,147건"
113,메이즈 러너: 스코치 트라이얼,"3,700건",410건
114,탐정 : 더 비기닝,"6,661건",616건
115,미니언즈,"10,759건",335건
116,뷰티 인사이드,"35,576건",678건
117,007 스펙터,"4,109건",610건
118,더 폰,"9,819건",708건
119,대호,"57,066건","1,130건"
120,성난 변호사,"7,538건",384건
121,그놈이다,"49,193건",894건
122,미쓰 와이프,"11,078건",273건
123,몬스터 호텔 2,"7,849건",246건
124,손님,"1,000,495건","2,816건"
125,인시디어스 3,"1,630건",114건
126,하트 오브 더 씨,"1,066건",208건
127,헝거게임: 더 파이널,"1,306건",372건
128,픽셀,"71,899건",304건
129,열정같은소리하고있네,"7,362건",583건
130,특종: 량첸살인기,"5,620건",527건
131,서부전선,"38,146건",873건
132,극장판 요괴워치: 탄생의 비밀이다냥!,458건,129건
133,명탐정 코난 : 화염의 해바라기,148건,40건
134,"협녀, 칼의 기억","10,845건",494건
135,어린왕자,"43,251건",231건
136,오피스,"601,197건","1,516건"
137,판타스틱 4,"36,866건",203건
138,뽀로로 극장판 컴퓨터 왕국 대모험,344건,53건
139,치외법권,"12,992건",590건
140,에베레스트,"27,304건",212건
141,극적인 하룻밤,"9,796건",498건
142,뮨: 달의 요정,280건,63건
143,도리화가,"16,394건",882건
144,스파이 브릿지,"1,785건",192건
145,함정,"306,881건","1,648건"
146,하늘을 걷는 남자,736건,156건
147,조선마술사,"13,847건",807건
148,괴물의 아이,"41,505건",158건
149,포켓몬 더 무비 XY 후파: 광륜의 초마신,126건,49건
150,팬,"5,734,747건","17,083건"
151,더 셰프,"81,687건",523건
152,레전드,"459,076건","1,629건"
153,아메리칸 울트라,778건,116건
154,트랜스포터: 리퓰드,321건,58건
155,내부자들: 디 오리지널,"3,579건",451건
156,스누피: 더 피너츠 무비,"1,607건",87건
157,우먼 인 골드,597건,50건
158,시카리오: 암살자의 도시,"1,264건",60건
159,러브 라이브! 더 스쿨 아이돌 무비,141건,17건
160,퇴마: 무녀굴,"4,890건",138건
