,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
0,1843,10494499,6.92,141,8.193181818181818,88,17567536.0
1,966,8911437,5.81,126,8.246200607902736,329,5334561.0
2,706,6125154,7.58,128,8.548387096774192,31,17202955.0
3,1290,4565888,6.63,125,8.337789203084833,1945,4565911.0
4,811,3872015,5.85,125,8.172131147540982,610,10168360.0
5,799,3828994,8.75,120,8.889012208657046,901,4014414.0
6,983,3247558,7.08,138,9.294190358467244,809,22415560.0
7,926,3044134,5.88,115,8.779516358463727,703,11501537.0
8,825,2801949,7.16,108,9.359840954274354,1006,8405847.0
9,894,2330813,7.16,108,8.393271461716939,862,9465112.0
10,665,2314520,7.32,120,8.889208633093526,695,2023958.0
11,841,2192172,5.84,135,8.053080568720379,1055,3804726.0
12,776,2191793,5.81,102,8.428093645484951,598,2191793.0
13,709,1891993,4.0,118,8.06051437216339,661,1891993.0
14,1013,1872677,4.94,130,9.344880677444188,1299,1872677.0
15,616,1860934,3.88,112,8.095959595959595,990,4169530.0
16,541,1743774,7.25,114,8.72682119205298,604,3487587.0
17,847,1712142,4.9,114,8.426070038910506,514,5977451.0
18,829,1707487,6.11,122,8.43424317617866,403,7565055.0
19,436,1559430,8.44,106,9.083129584352076,409,10113218.0
20,615,1512340,6.33,92,8.681981981981982,1110,3227050.0
21,551,1472006,6.03,110,7.491289198606273,574,1826714.0
22,688,1160935,6.36,112,8.677725118483412,211,1160935.0
23,697,1110214,4.97,131,7.268542199488491,391,9729747.0
24,500,1101678,5.67,98,8.313559322033898,354,1101678.0
25,621,955175,6.46,124,7.811816192560173,457,1225323.0
26,206,955149,6.0,86,9.67,100,3846206.0
27,646,855980,4.33,102,6.614678899082569,327,5429882.0
28,641,786257,4.75,116,7.925486875529213,1181,6153654.0
29,531,716386,6.5,113,8.403278688524589,305,1520015.0
30,536,573657,5.78,120,7.703703703703702,216,1781389.0
31,422,519983,4.13,108,7.564625850340136,147,519983.0
32,432,503516,7.0,95,8.51792828685259,251,3510600.0
33,429,472693,4.0,119,8.396039603960396,202,810861.0
34,546,465492,4.57,113,6.7211538461538485,208,465492.0
35,482,413577,7.21,118,7.502283105022831,219,413577.0
36,452,387409,4.55,102,8.2565445026178,191,387409.0
37,512,364415,3.07,125,5.575187969924811,266,364415.0
38,532,360445,6.56,94,8.26086956521739,207,360445.0
39,489,351208,6.75,99,6.72108843537415,294,11416716.0
40,308,344766,7.25,132,8.669902912621357,206,1943736.0
41,926,326887,6.42,144,8.620253164556964,1185,7230889.0
42,357,325016,5.5,92,7.947826086956522,345,325016.0
43,561,309729,4.75,127,6.739495798319327,119,2276400.0
