,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
0,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),B,20150423,spring,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화,6.92,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로",141,8.612376614,5268,2015,7073037,1,0,33074337,1,1,11,16.16636177,4120,1940,0,B
1,국제시장,윤제균,씨제이이앤엠(주),A,20141217,winter,개봉영화,장편,한국,966,69823893034,8911437,16331193634,2033863,드라마,12세이상관람가,일반영화,5.81,"황정민,김윤진,오달수",126,9.272090989,1143,2014,0,0,0,51592007,1,0,16,16.00284607,1547,917,0,A
2,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),B,20150211,winter,개봉영화,장편,미국,706,50333635795,6125154,16707645195,1968882,액션,청소년관람불가,일반영화,7.58,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨",128,8.960784314,918,2015,7163,1,0,6557445,1,1,12,15.62791446,427,384,0,B
3,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),B,20150611,summer,개봉영화,장편,미국,1290,40130812071,4565888,11510753371,1243034,액션,12세이상관람가,일반영화,6.63,"크리스 프랫,브라이스 달라스 하워드,빈센트 도노프리오",125,8.337789203,1945,2015,23,0,1,1472533,1,1,3,15.33412358,209,668,0,B
4,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,C,20150211,winter,개봉영화,장편,한국,811,30456879428,3872015,6908501928,845522,사극,12세이상관람가,일반영화,5.85,"김명민,오달수,이연희",125,8.172131148,610,2015,0,1,0,58897340,1,0,15,15.1692856,985,621,0,A
5,매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아(주),B,20150514,spring,개봉영화,장편,미국,799,32781268462,3828994,11373970562,1263672,액션,15세이상관람가,일반영화,8.75,"톰 하디,샤를리즈 테론,니콜라스 홀트",120,8.889012209,901,2015,185420,0,1,11101070,1,1,8,15.15811266,88,480,0,B
6,분노의 질주: 더 세븐,제임스 완,유니버설픽쳐스인터내셔널 코리아(유),B,20150401,spring,개봉영화,장편,미국,983,26449334694,3247558,7328474894,864171,액션,15세이상관람가,일반영화,7.08,"빈 디젤,폴 워커,드웨인 존슨",138,9.294190358,809,2015,2890669,0,1,9912243,1,3,9,14.99341389,46,387,0,B
7,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),C,20150325,spring,개봉영화,장편,한국,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,일반영화,5.88,"김우빈,준호,강하늘",115,8.779516358,703,2015,1217,1,0,2258611,1,1,2,14.92872702,1589,771,0,A
8,빅 히어로,"돈 홀,크리스 윌리암스",월트디즈니컴퍼니코리아(주),B,20150121,winter,개봉영화,장편,미국,825,21993119765,2801949,6512949165,772249,애니메이션,전체관람가,일반영화,7.16,"다니엘 헤니,라이언 포터,스콧 애짓",108,9.359840954,1006,2015,0,1,0,3490818,2,0,3,14.8458258,678,449,0,B
9,극비수사,곽경택,(주)쇼박스,C,20150618,summer,개봉영화,장편,한국,894,18338857652,2330813,4800234552,588252,드라마,15세이상관람가,일반영화,7.16,"김윤석,유해진",108,8.393271462,862,2015,3015354,1,0,33237892,1,2,9,14.66172769,1179,904,0,A
