영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967,59546521565,7073037,19269181065,2145870,액션,12세이상관람가,일반영화
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,(주)쇼박스,2012-02-02,개봉영화,장편,한국,699,36479147500,4710454,11716858500,1451900,범죄,청소년관람불가,일반영화
내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563,32518413000,4360205,10933395000,1392563,코미디,15세이상관람가,일반영화
건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,593,30219495500,4110606,11003651000,1431136,멜로/로맨스,12세이상관람가,일반영화
댄싱퀸,이석훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-01-18,개봉영화,장편,한국,534,30129259500,4057546,8223006000,1055086,코미디,12세이상관람가,일반영화
부러진 화살,정지영,(주)아우라픽처스,,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,개봉영화,장편,한국,453,25878110500,3450941,7619815000,972059,드라마,15세이상관람가,일반영화
맨 인 블랙 3,배리 소넨필드,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,개봉영화,장편,미국,770,27295181070,3378818,9255124570,1068251,액션,12세이상관람가,일반영화
미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,개봉영화,장편,미국,1024,19536876000,2533735,6199472500,769410,액션,15세이상관람가,일반영화
화차,변영주,(주)영화제작소보임,,필라멘트픽쳐스,2012-03-08,개봉영화,장편,한국,548,18450760000,2435211,6041917500,760953,미스터리,15세이상관람가,일반영화
후궁 : 제왕의 첩,김대승,(주)황기성 사단,,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,개봉영화,장편,한국,624,17733431000,2408574,5125245500,662875,사극,청소년관람불가,일반영화
배틀쉽,피터 버그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-04-11,개봉영화,장편,미국,736,16545921500,2241687,4666555500,597715,SF,12세이상관람가,일반영화
장화신은 고양이,크리스 밀러,,씨제이이앤엠(주),씨제이이앤엠(주),2012-01-12,개봉영화,장편,미국,593,17601188500,2080154,5630702000,606226,애니메이션,전체관람가,일반영화
코리아,문현성,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",,씨제이이앤엠(주),2012-05-03,개봉영화,장편,한국,537,13332850500,1856972,3257620500,430385,드라마,12세이상관람가,일반영화
러브픽션,전계수,"(주)삼거리픽쳐스,(주)판타지오",,(주)넥스트엔터테인먼트월드(NEW),2012-02-29,개봉영화,장편,한국,617,13200412500,1726202,4746233500,593077,멜로/로맨스,15세이상관람가,일반영화
언터처블: 1%의 우정,"올리비에르 나카체,에릭 토레다노",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2012-03-22,개봉영화,장편,프랑스,454,12730128000,1719661,4699809000,606276,코미디,12세이상관람가,일반영화
하울링,유하,오퍼스픽쳐스(유),,씨제이이앤엠(주),2012-02-16,개봉영화,장편,한국,550,11765293500,1612554,2751165500,355720,범죄,15세이상관람가,일반영화
마다가스카3 : 이번엔 서커스다!,"에릭 다넬,톰 맥그라스,콘래드 베논",,씨제이이앤엠(주),씨제이이앤엠(주),2012-06-06,개봉영화,장편,미국,564,10844490000,1390190,3201492500,383109,애니메이션,전체관람가,일반영화
은교,정지우,"정지우 필름,㈜렛츠필름",,롯데쇼핑㈜롯데엔터테인먼트,2012-04-25,개봉영화,장편,한국,521,9917728000,1346274,3405009000,446283,멜로/로맨스,청소년관람불가,일반영화
차형사,신태라,(주)영화사홍,,씨제이이앤엠(주),2012-05-30,개봉영화,장편,한국,433,9588750296,1323347,2165258296,281169,코미디,15세이상관람가,일반영화
간기남,김형준,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",,(주)쇼박스,2012-04-11,개봉영화,장편,한국,356,9356404500,1246185,2480022000,313190,코미디,청소년관람불가,일반영화
어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,1118,10637474200,1192050,3520566700,369001,액션,12세이상관람가,일반영화
돈의 맛,임상수,휠므빠말주식회사,,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-05-17,개봉영화,장편,한국,643,8776814611,1165481,2880753111,365067,드라마,청소년관람불가,일반영화
잃어버린 세계를 찾아서 2: 신비의 섬,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-01-19,개봉영화,장편,미국,398,9784305000,1149628,2244305000,239683,액션,전체관람가,일반영화
점박이:한반도의 공룡3D,한상호,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",,씨제이이앤엠(주),2012-01-26,개봉영화,장편,한국,457,9621468000,1040636,1776299500,187715,애니메이션,전체관람가,일반영화
시체가 돌아왔다,우선호,(주)씨네이천,,씨제이이앤엠(주),2012-03-29,개봉영화,장편,한국,435,7357623000,986547,1804931500,228284,범죄,15세이상관람가,일반영화
원더풀 라디오,권칠인,"(주)영화사아이비젼,(주)대명문화공장",,(주)쇼박스,2012-01-05,개봉영화,장편,한국,474,7193596000,977470,2018583000,259784,드라마,15세이상관람가,일반영화
