,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
0,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화
1,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,69823893034,8911437,16331193634,2033863,드라마,12세이상관람가,일반영화
2,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,50333635795,6125154,16707645195,1968882,액션,청소년관람불가,일반영화
3,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,1290,40130812071,4565888,11510753371,1243034,액션,12세이상관람가,일반영화
4,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811,30456879428,3872015,6908501928,845522,사극,12세이상관람가,일반영화
5,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799,32781268462,3828994,11373970562,1263672,액션,15세이상관람가,일반영화
6,분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,개봉영화,장편,미국,983,26449334694,3247558,7328474894,864171,액션,15세이상관람가,일반영화
7,스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,개봉영화,장편,한국,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,일반영화
8,빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,개봉영화,장편,미국,825,21993119765,2801949,6512949165,772249,애니메이션,전체관람가,일반영화
9,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,2015-06-18,개봉영화,장편,한국,894,18338857652,2330813,4800234552,588252,드라마,15세이상관람가,일반영화
10,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18385015858,2314520,5381937358,647117,액션,15세이상관람가,일반영화
11,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015-01-21,개봉영화,장편,한국,841,17717971499,2192172,4859661899,586992,액션,청소년관람불가,일반영화
12,악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),2015-05-14,개봉영화,장편,한국,776,17357873332,2191793,4129615932,497664,스릴러,15세이상관람가,일반영화
13,오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),2015-01-14,개봉영화,장편,한국,709,14924654487,1891993,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화
14,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,1013,14298162159,1872677,3158195559,399170,드라마,12세이상관람가,일반영화
15,테이큰 3,올리비에 메가턴,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-01,개봉영화,장편,미국,616,15088105000,1860934,4082036100,487343,액션,15세이상관람가,일반영화
16,이미테이션 게임,모튼 틸덤,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-02-17,개봉영화,장편,영국,541,13654746120,1743774,4581883920,569958,드라마,15세이상관람가,일반영화
17,샌 안드레아스,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-06-03,개봉영화,장편,미국,847,14397026552,1712142,3817925452,429180,액션,12세이상관람가,일반영화
18,쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,씨제이이앤엠(주),2015-02-05,개봉영화,장편,한국,829,13509581911,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화
19,위플래쉬,데이미언 셔젤,,(주)에이든컴퍼니,(주)쇼박스,2015-03-12,개봉영화,장편,미국,436,12426704845,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화
