,aud_nationwide,log_aud
37,364415,12.806048607077274
786,284755,12.559384440417778
189,51207,10.843631520432444
710,186191,12.1345283075334
157,142456,11.866788459081151
214,1156727,13.96110502327786
319,627102,13.348864485810035
581,1314274,14.088794979880754
865,655876,13.39372702566862
719,108780,11.597082772976954
856,1140876,13.947306946339008
690,639934,13.369120325018105
111,2839921,14.859286792849085
381,3628949,15.104453632638204
445,117401,11.673350704227419
648,37300,10.526748605631909
477,4853778,15.395267928746891
542,94281,11.454034963697257
215,1100120,13.910929822727711
440,128472,11.76346626074133
565,5398994,15.501723197882896
337,192668,12.168723779377684
306,1399771,14.151819209777653
817,72412,11.190127310495834
561,46469,10.746540702587746
216,1069436,13.882641964666831
484,2656694,14.792593050627543
738,43627,10.683431503726073
485,2050909,14.53379366746952
721,93691,11.447757412385974
887,174938,12.072186904417356
45,298298,12.605848265820624
448,108730,11.596623023991794
501,770801,13.555185512874903
233,356976,12.78542383161119
736,45764,10.731253034820835
667,2820029,14.852257726549366
847,2227671,14.616467203057384
741,37764,10.539111546852409
546,81680,11.310564452838547
76,107441,11.584697138674278
380,3653238,15.111124455585045
159,122574,11.716470208215707
322,553760,13.224486658869171
459,66074,11.098530605040901
893,136869,11.826779542975654
712,170878,12.048705130565624
43,309729,12.643453000582927
150,185960,12.13328687580452
56,233347,12.360281895070765
521,321018,12.679252475306376
697,459020,13.036849061078154
665,3033052,14.925079931264927
77,98495,11.497761064450454
390,2310054,14.652781458848127
163,111127,11.61842897040453
563,11202637,16.231659754980733
246,214003,12.273745312597315
33,472693,13.066201408125035
388,2447246,14.71047386863465
265,94926,11.46085291967712
705,267785,12.497939698721266
895,132958,11.797788567858213
643,47540,10.769326740914183
869,587818,13.284172655158859
140,332180,12.71343226965299
333,233283,12.360007587802045
722,93000,11.440354772135393
903,91782,11.42717147895132
654,12253247,16.32130152105698
614,182545,12.114751996952446
745,16263360,16.60442528280283
737,44141,10.69514433474214
765,1157583,13.961844768635256
199,4142912,15.236909480187078
709,189948,12.154505629473741
704,267896,12.498354124476853
685,768442,13.552120367414544
264,103542,11.547732606475634
437,149719,11.916515482861676
68,140616,11.853788049892735
693,490307,13.102787004510693
810,92713,11.437263979046314
259,134029,11.805811473428516
911,58645,10.979257598955606
97,46079,10.738112593745406
366,66883,11.110700103211892
257,141025,11.856692458608176
298,2718158,14.815465002982345
699,395408,12.887673422189748
590,554521,13.225859957012153
92,56547,10.942827429739165
411,629322,13.352398328382742
402,1176711,13.978233816585432
821,51149,10.842498220846533
69,136134,11.821394973752195
29,716386,13.481974406822527
40,344766,12.750621205020964
587,903175,13.713671612072242
144,260518,12.470427235677086
833,13369087,16.408455659536276
416,459421,13.03772227999038
293,4935320,15.411928071705965
129,654102,13.391018581581076
639,52896,10.876083000620751
922,32684,10.394640940504598
241,256035,12.453069432866545
867,637021,13.364557901043868
407,764072,13.546417304545965
545,82863,11.324943920624065
105,5440520,15.509385202499153
2,6125154,15.627914456936132
556,54988,10.91487025859131
231,425799,12.961722682918325
540,98231,11.495077126806448
71,119518,11.691222266625564
218,918678,13.730690959091365
391,2153152,14.582443373018453
