,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
0,남산의 부장들,2020-01-22,"33,670,891,220",23.4%,"33,670,891,220","3,874,419","3,874,419","1,659","80,854",한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,드라마,우민호,"이병헌,이성민,곽도원,이희준,김소진,김승훈,박성근,서현우,지현준,박지일,이태형,주석태,이도국,김민상,이양희,정미형,조혜주,김명선,이하영,전우재,손병욱,윤충,염석무,박현우,김태훈,최재훈,조영규,이수광,박기만,엄지만,천명재,김낙균,천재홍,김지나,이태호,정종우,윤기창,손인용,박소윤,이영용,김성철,장은채,유정호,정문용,신하준,이승진,제리 렉터,정원석,오진석,남승화,유대식,장의돈,구윤회,양재훈,김동환,이광식,김병남,오대환,이충훈,이병관,김지성,박하균,이상철,김홍파,김용우"
1,백두산,2019-12-19,"16,891,094,350",11.8%,"69,796,884,120","1,958,389","8,248,891","1,241","73,893",한국,한국,"주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,씨제이이앤엠(주)","씨제이이앤엠(주),(주)덱스터스튜디오",12세이상관람가,"어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,김연교,정윤하,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,서현우,김민식,박지홍,김준원,남문철,박성근,전도연,이정민,최정현,박태산,양지수"
2,히트맨,2020-01-22,"16,122,374,840",11.2%,"16,122,374,840","1,874,016","1,874,016","1,122","48,942",한국,한국,베리굿스튜디오(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"코미디,액션",최원섭,"권상우,정준호,황우슬혜,이이경,이지원,허성태,조운,허동원,이준혁,이중옥,안성봉,주서은,권유준,이상이,오자훈,배민준,박경근,손성찬,문정대,이건구,하경민,김사란,신수오,조셉,손태양,채인우,김건,서성균,박가은,안보라,권반석,황태희,김원영,변동욱,강현우,정수용,심상윤,이윤규,신희정,윤동주,심홍섭,배재성,이재남,장필상,박지해,나승준,손지민,이한종,아우 티투 솔루키,문정수,김원중,김흥태,김관영,김대근,우광제,이왕수,남승화,이창섭,이금용,임효우,박현선,주창욱,문형돈,원우,최재현,올렉 오스트로스키,디미트리 키에르베,서정훈,신기원,박예찬,임효진,설윤지,강영준,옥주리,김풍,황병국,김미희,한철우,이상원,김길동,배진웅"
3,닥터 두리틀,2020-01-08,"13,395,322,970",9.3%,"13,395,322,970","1,598,856","1,598,856","1,290","67,658",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"판타지,어드벤처",스티븐 개건,"로버트 다우니 주니어,톰 홀랜드,라미 말렉,안토니오 반데라스,마리옹 꼬띠아르,마이클 쉰,옥타비아 스펜서,쿠마일 난지아니,존 시나,셀레나 고메즈,랄프 파인즈,엠마 톰슨,크레이그 로빈슨"
4,해치지않아,2020-01-15,"9,966,878,950",6.9%,"10,095,111,950","1,186,777","1,201,814","1,216","50,490",한국,한국,"(주)디씨지플러스,(주)어바웃필름",(주)에이스메이커무비웍스,12세이상관람가,코미디,손재곤,"안재홍,강소라,박영규,김성오,전여빈,박혁권,장승조,조한준,문동혁,한예리,서현우,박형수,김흥래,김수진,윤대열,이현욱,오재균,조민경,손경원,김경민,안성봉,송수영,윤재인,한사명,전운종,양말복,김비비,김그림,박윤호,김현,박기륭,이정민,윤우중,정원형,장원형,송유현,조은유,임새라,주부진,손희순,남정희,김남순,권범택,원근희,손영희,김정현,이다영,박중금,양현진,박소영,조혜선,경규민,이다인,장정우,이경민,김규희,박보은,이하영,서은솔,송지우,양희원,김하연,김태연,박시윤,윤성우,진현광,배은우,최찬호,설창희,변상윤,박영빈,유은조,김경로,오석철,고민지,최정현,배진호,이윤상,유정호,노수산나,김기천"
5,천문: 하늘에 묻는다,2019-12-26,"8,678,111,110",6.0%,"16,486,354,060","1,029,221","1,994,845",929,"43,039",한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,사극,허진호,"최민식,한석규,신구,김홍파,허준호,김태우,김원해,임원희,오광록,박성훈,전여빈,김승훈,박기륭,김병남,안문주"
6,미드웨이,2019-12-31,"7,102,189,070",4.9%,"8,187,848,590","818,269","951,642",842,"32,438",미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,드라마",롤랜드 에머리히,"에드 스크레인,패트릭 윌슨,우디 해럴슨,루크 에반스,아사노 타다노부,닉 조나스"
7,시동,2019-12-18,"6,853,925,560",4.8%,"28,090,403,360","789,954","3,315,940",825,"34,718",한국,한국,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,최정열,"마동석,박정민,정해인,염정아,최성은,김종수,이해운,김자영,윤경호,고두심,김경덕,김민재,박해준,허준석,김미화,성혁,손석배,홍인,이수빈,방은정,조재영,김대곤,강덕중,박성일,백주희,류성현,권혁범,정의욱,유수빈,조대희,차우진,조한준,승의열,류제승,임성재,김원목,곽수정,이문석,정병두,서문호,강태수,박원준,이육헌,김시원,최현종,선율우,오재세"
8,미스터 주: 사라진 VIP,2020-01-22,"4,675,193,020",3.3%,"4,681,685,020","555,022","555,962",692,"22,398",한국,한국,리양필름(주),"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",12세이상관람가,"코미디,드라마",김태윤,"이성민,김서형,배정남,신하균,갈소원,유인나,김수미,이선균,이정은,이순재,김보성,조한준,박준형,정다정,데이비드 맥기니스"
9,나쁜 녀석들: 포에버,2020-01-15,"4,785,334,880",3.3%,"4,785,514,880","535,007","535,037",896,"28,775",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,액션,"아딜 엘 아르비,빌랄 팔라","윌 스미스,마틴 로렌스,바네사 허진스"
