,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),D,6/2/2016,summer,개봉영화,장편,영국,162,340299000.0,72469500,11999,애니메이션,전체관람가,독립/예술영화,0.0,"하성용,정재헌,엄상현",68,8.451612903,155,2016,1206342.0,5 [5],1,1,26048880
688,미쓰백,이지원,영화사 배,,(주)리틀빅픽쳐스,D,10/11/2018,autumn,개봉영화,장편,한국,638,6025211066.0,1573891166,184642,드라마,15세이상관람가,일반영화,6.11,"한지민,김시아,이희준",98,9.294964028999999,417,2018,720292.0,1 [1],0,0,48564798
375,순종,"김동민,이주훈",(재)CBS,,"(재)CBS,(주)영화사 안다미로",C,11/17/2016,autumn,개봉영화,장편,한국,104,382422200.0,98656600,12528,다큐멘터리,전체관람가,독립/예술영화,5.0,"김영화,김은혜,한성국",88,9.636363636,11,2016,162432.0,"2 [1, 1]",1,0,0
665,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,12/19/2018,winter,개봉영화,장편,미국,1285,30454292381.0,8140709631,892939,액션,12세이상관람가,일반영화,6.83,"제이슨 모모아,앰버 허드,니콜 키드먼",143,8.768219833,1674,2018,22415560.0,3 [3],0,1,63960059
589,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),B,6/27/2018,summer,개봉영화,장편,한국,1117,5547497752.0,1358142852,157575,미스터리,15세이상관람가,일반영화,5.63,"김다미,조민수,박희순",125,8.568734792999999,1644,2018,12181628.0,3 [3],0,0,41258819
423,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,,(주)시네마리퍼블릭,(주)이수C&E,B,1/4/2017,winter,개봉영화,장편,기타,526,2694247700.0,433186900,54862,애니메이션,전체관람가,독립/예술영화,0.0,"박지윤,엄상현,남도형",90,8.393939394,561,2017,2017230.0,3 [3],1,1,32456725
581,사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,씨네그루(주)키다리이엔티,B,3/7/2018,spring,개봉영화,장편,한국,925,10686397316.0,2577142716,309566,스릴러,15세이상관람가,일반영화,4.67,"김상경,김강우,김희애",101,8.142000000000001,500,2018,1314274.0,1 [1],0,1,37893555
89,위자,스틸즈 화이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,4/16/2015,spring,개봉영화,장편,미국,337,570154035.0,143358035,17902,미스터리,15세이상관람가,일반영화,2.0,"올리비아 쿡,다렌 카가소프,아나 코토",89,6.859375,64,2015,73549.0,1 [1],1,0,17256206
80,심야식당,마츠오카 조지,,(주)엔케이컨텐츠,(주)영화사 진진,D,6/18/2015,summer,개봉영화,장편,일본,180,711908074.0,351932174,43398,드라마,12세이상관람가,독립/예술영화,6.03,"코바야시 카오루,오다기리 죠",120,8.550724638,138,2015,90416.0,1 [1],1,0,180832
573,조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),,(주)쇼박스,C,2/8/2018,winter,개봉영화,장편,한국,1249,19690818764.0,4072581264,490363,사극,12세이상관람가,일반영화,5.17,"김명민,오달수,김지원",120,8.192719486,934,2018,10168360.0,2 [2],1,0,287934834
