,model_num,RMSE,rsquare,adj_rsquare,test_rsquare
0,model1,1216819.0477631732,0.6522586816618832,0.6380551630255376,0.6063840307534749
1,model2,1188747.638878766,0.665968333305042,0.6513426529836526,0.6243355959961607
2,model3,1156389.3520695297,0.6896127298740369,0.6751045430267892,0.6445087799148355
3,model4,1053773.5748202384,0.7429588496874967,0.7305625388922838,0.7048007034475638
4,model5,1063902.421634523,0.7440583867747042,0.7313340167990148,0.6990985325678981
5,model6,2195960.731106855,0.7842169292905693,0.773489077763822,0.7439545187829606
6,model7,2195960.6542116757,0.8321549543473458,0.8235597599753749,0.8112268717176602
7,model8,2195960.656407818,0.8371192472914519,0.828766388178193,0.8192433709902969
8,model9,2195960.6661269963,0.8447335786775494,0.8367255684087698,0.8239856750090017
9,model10,2195960.6934031,0.8464722491479213,0.8385539124277568,0.8272356172008598
10,model11,2195960.6942379405,0.846390818878873,0.8389298015101325,0.8261355515072468
11,model12,2195960.692689364,0.8386550796413059,0.8362003159843964,0.8249483856296358
