,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
0,어벤져스,2012-04-26,59546521565,0.09300000000000001,59546521565,7073037,7073037,967,109646,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너","로버트 다우니 주니어, 스칼렛 요한슨, 크리스 헴스워스",2012,True,7073037
1,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,0.057,36538823500,4719872,4719872,713,91889,한국,한국,"(주)팔레트픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,김민주,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕(장남부),김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱","최민식, 하정우, 조진웅",2012,True,4710454
2,내 아내의 모든 것,2012-05-17,32518413000,0.051,32518413000,4360205,4360205,563,82867,한국,한국,"(주)수필름,영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,멜로/로맨스",민규동,"임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우","임수정, 이선균, 류승룡",2012,True,4360205
3,댄싱퀸,2012-01-18,30129331500,0.047,30129331500,4057555,4057555,544,80969,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",이석훈,"황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영,이정건,안은정,라미란,송원석,이대연,이한위,최우리,천보근,권병길,조달환,서동원,정아미,어성욱","황정민, 엄정화, 정성화",2012,True,4057546
4,부러진 화살,2012-01-18,25878110500,0.04,25936754000,3450941,3459780,530,71556,한국,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,"안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민","안성기, 박원상, 나영희",2012,True,3450941
5,미션임파서블:고스트프로토콜,2011-12-15,19536876000,0.03,57301924000,2533735,7508896,697,53514,미국,미국,파라마운트 픽쳐스,씨제이이앤엠(주),15세이상관람가,액션,브래드 버드,"톰 크루즈,제레미 레너",,2011,True,2533735
6,후궁 : 제왕의 첩,2012-06-06,17813379000,0.027999999999999997,17813379000,2423458,2423458,624,56804,한국,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원,홍수지,신민철,안석환,오지혜,이용녀,박충선,최정현","조여정, 김동욱, 김민준",2012,True,2408574
7,배틀쉽,2012-04-11,16545921500,0.026000000000000002,16545921500,2241687,2241687,736,53109,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,액션",피터 버그,"리암 니슨,테일러 키치,알렉산더 스카르가드,브룩클린 데커,리한나","리암 니슨, 테일러 키치, 알렉산더 스카르가드",2012,True,2241687
8,코리아,2012-05-03,13446936500,0.021,13446936500,1872261,1872261,537,49671,한국,한국,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",씨제이이앤엠(주),12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실,권태원,박지연,권은수,차청화,한사명,이정민","하지원, 배두나, 한예리",2012,True,1856972
9,하울링,2012-02-16,11765293500,0.018000000000000002,11765293500,1612554,1612554,550,44753,한국,한국,오퍼스픽쳐스(유),씨제이이앤엠(주),15세이상관람가,"범죄,드라마",유하,"송강호,이여진,이나영,박민규,이태리,임현성,정진,조은별,주영민,한민혁,이승현,이종혁,박정률,박진우,신정근,이민아,조영진,남보라,권태원,박선우,정민성,김경룡,김종구","송강호, 이여진, 이나영",2012,True,1612554
