,id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,개봉일_int
0,0,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화,6.92,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 헴스워스(토르), 마크 러팔로(브루스 배너 / 헐크)",141분,8.612376613515565,5268,2015
1,1,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,69823893034,8911437,16331193634,2033863,드라마,12세이상관람가,일반영화,5.81,"황정민(덕수), 김윤진(영자), 오달수(달구)",126분,9.272090988626422,1143,2014
2,2,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,50333635795,6125154,16707645195,1968882,액션,청소년관람불가,일반영화,7.58,"콜린 퍼스(해리), 태런 에저튼(에그시), 사무엘 L. 잭슨(발렌타인)",128분,8.96078431372549,918,2015
3,3,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,1290,40130812071,4565888,11510753371,1243034,액션,12세이상관람가,일반영화,6.63,"크리스 프랫, 브라이스 달라스 하워드, 빈센트 도노프리오",125분,8.337789203084833,1945,2015
4,4,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,개봉영화,장편,한국,811,30456879428,3872015,6908501928,845522,사극,12세이상관람가,일반영화,5.85,"김명민(명탐정 김민), 오달수(서필), 이연희(히사코)",125분,8.172131147540984,610,2015
5,5,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,개봉영화,장편,미국,799,32781268462,3828994,11373970562,1263672,액션,15세이상관람가,일반영화,8.75,"톰 하디(맥스 로켓탄스키), 샤를리즈 테론(임페라토르 퓨리오사), 니콜라스 홀트(눅스)",120분,8.889012208657048,901,2015
6,6,분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,개봉영화,장편,미국,983,26449334694,3247558,7328474894,864171,액션,15세이상관람가,일반영화,7.08,"빈 디젤(도미닉 토레토), 폴 워커(브라이언 오코너), 드웨인 존슨(루크 홉스)",138분,9.294190358467244,809,2015
7,7,스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,개봉영화,장편,한국,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,일반영화,5.88,"김우빈(치호), 준호(동우), 강하늘(경재)",115분,8.779516358463727,703,2015
8,8,빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,개봉영화,장편,미국,825,21993119765,2801949,6512949165,772249,애니메이션,전체관람가,일반영화,7.16,"다니엘 헤니(테디 아르마다 목소리), 라이언 포터(히로 아르마다 목소리), 스콧 애짓(베이맥스 목소리)",108분,9.359840954274354,1006,2015
9,9,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,2015-06-18,개봉영화,장편,한국,894,18338857652,2330813,4800234552,588252,드라마,15세이상관람가,일반영화,7.16,"김윤석(공길용), 유해진(김중산)",108분,8.393271461716937,862,2015
10,10,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18385015858,2314520,5381937358,647117,액션,15세이상관람가,일반영화,7.32,"멜리사 맥카시, 주드 로, 제이슨 스타뎀",120분,8.889208633093526,695,2015
11,11,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015-01-21,개봉영화,장편,한국,841,17717971499,2192172,4859661899,586992,액션,청소년관람불가,일반영화,5.84,"이민호(종대), 김래원(용기), 정진영(길수)",135분,8.053080568720379,1055,2015
12,12,악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),2015-05-14,개봉영화,장편,한국,776,17357873332,2191793,4129615932,497664,스릴러,15세이상관람가,일반영화,5.81,"손현주(최반장(최창식)), 마동석(오형사), 최다니엘(김진규)",102분,8.42809364548495,598,2015
13,13,오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),2015-01-14,개봉영화,장편,한국,709,14924654487,1891993,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화,4.00,"이승기(준수), 문채원(현우), 이서진(동진)",118분,8.06051437216339,661,2015
