,aud_nationwide,log_aud
107,4968687,15.418666178059116
280,56866,10.948452901973463
688,678091,13.427036776205153
375,54144,10.899402442965895
665,3033052,14.925079931264927
589,661965,13.402967963430841
423,366442,12.811595534033694
581,1314274,14.088794979880754
89,73549,11.205707129744088
80,90416,11.412176521869625
573,2424330,14.701065755519185
904,88055,11.385716898229187
463,58384,10.974797158676227
30,573657,13.259786935715375
10,2314520,14.654712880591328
310,1111158,13.920913272731704
182,56515,10.942261368624832
752,2812310,14.849516767657278
456,72926,11.197200507360453
496,946547,13.760575905028356
397,1675798,14.331800027700767
664,3491857,15.065944244358564
157,142456,11.866788459081151
546,81680,11.310564452838547
753,2516128,14.738231769912224
77,98495,11.497761064450454
768,843703,13.645555815913664
1,8911437,16.002846065904137
232,405792,12.913595992034626
175,76343,11.242991623404992
398,1634403,14.30678815801984
370,63800,11.06350846933288
694,485056,13.092019627171702
615,174223,12.06809136683202
308,1153109,13.957972330776013
4,3872015,15.169285601338046
432,201365,12.212874460649102
198,4703245,15.363763253978146
116,2053085,14.53485409796913
286,11565078,16.26350059811261
502,590036,13.287938830969596
204,2292929,14.645340597557777
431,232016,12.354561613787675
174,77621,11.259593288117411
543,90643,11.414683993124154
830,41448,10.632194908494622
71,119518,11.691222266625564
213,1168268,13.97103286810501
202,3317196,15.014630405722215
873,436207,12.985872180305453
851,1444952,14.18358666098386
119,1584168,14.27556990633854
177,63954,11.065919353917193
721,93691,11.447757412385974
284,54972,10.914579243674742
340,146548,11.895108298826536
13,1891993,14.453141328798536
227,477848,13.077047969271732
841,3678156,15.117922097602568
318,689071,13.443099592582225
778,412850,12.930839609845574
567,3783341,15.146118039653238
765,1157583,13.961844768635256
457,72849,11.196144084693172
549,65895,11.095817845077988
522,318737,12.672121590309345
459,66074,11.098530605040901
488,1786383,14.395703463117082
199,4142912,15.236909480187078
816,72950,11.197529553950933
782,323098,12.685710961759384
129,654102,13.391018581581076
90,62071,11.036034170120518
823,49509,10.809909750211675
126,809327,13.603958317092125
279,58784,10.98162498801485
163,111127,11.61842897040453
111,2839921,14.859286792849085
652,35870,10.487656570526328
706,264766,12.486601696009615
372,59147,10.987781149608047
887,174938,12.072186904417356
667,2820029,14.852257726549366
675,1593386,14.281371869646552
643,47540,10.769326740914183
921,34723,10.455157570571496
72,116444,11.665165749725725
2,6125154,15.627914456936132
317,703024,13.463146309612627
347,119964,11.69494697675518
288,7118592,15.778220511023505
12,2191793,14.600230488284273
309,1124815,13.933129135653743
682,1002858,13.81836448164717
855,1144894,13.950822614265801
108,4875494,15.399731990613544
429,272736,12.516259573322024
559,50783,10.835316931890924
181,58487,10.976559786302706
840,4573902,15.335877227887151
897,114796,11.65091191905499
698,450374,13.017833627676016
723,86784,11.371177551860011
42,325016,12.691629690869313
304,2044564,14.530695121794071
490,1468301,14.199616508010529
614,182545,12.114751996952446
842,3657536,15.112300254616766
445,117401,11.673350704227419
515,354601,12.778748492697227
521,321018,12.679252475306376
802,116059,11.661853961474495
525,226933,12.332410098711948
371,60365,11.008164745766488
455,78930,11.276316662702449
338,160860,11.988289700458061
374,55342,10.921287392911944
55,248215,12.422050585059473
727,67368,11.117925406709828
216,1069436,13.882641964666831
542,94281,11.454034963697257
40,344766,12.750621205020964
426,350129,12.766056936988404
704,267896,12.498354124476853
638,55804,10.929600830388
814,88054,11.385705541626171
178,63073,11.05204806472275
176,66075,11.09854573947249
809,94119,11.452315218050476
58,219621,12.299658612460707
719,108780,11.597082772976954
409,668576,13.412905356421973
16,1743774,14.371562287897953
576,1708672,14.351227018575347
650,36335,10.500536743050736
376,53018,10.878386757517054
637,58340,10.974043243421711
535,134827,11.811747754139535
414,501286,13.12493207547283
452,96462,11.476904427391016
701,315010,12.660359663335619
591,540558,13.200357218352408
626,101173,11.5245872018195
382,3616250,15.100948135272482
29,716386,13.481974406822527
882,210945,12.259352714972458
343,135094,11.813726111415065
620,137841,11.833856125963655
356,86293,11.365503761383119
777,428009,12.966899502380233
739,41054,10.622643552277122
203,2937941,14.893219553826096
32,503516,13.129370768192954
770,686809,13.439811512171199
824,48942,10.798391202528636
156,156376,11.960018642632857
854,1176076,13.977694031202883
334,219047,12.297041597644947
471,8539495,15.960212430526838
566,5043771,15.433664574560499
540,98231,11.495077126806448
355,89510,11.402105629864984
3,4565888,15.334123576642694
784,291328,12.58220505916584
130,616481,13.331782781971304
582,1251725,14.040033157953602
342,139717,11.847374227175797
773,575353,13.262739044455445
878,286806,12.566561307990865
321,596487,13.298812726485467
222,678368,13.42744519253598
328,384789,12.860450411086507
910,59397,10.991998999024807
441,126384,11.747080170404198
113,2744413,14.825077766706475
48,282662,12.552007116535686
289,7049643,15.768487535208411
803,104950,11.56123932524878
206,2007180,14.512241309855574
578,1387508,14.143019890351873
285,54450,10.905038128361106
691,527331,13.175583713853072
225,554784,13.226334127785616
612,198013,12.196087964087033
120,1124918,13.933220702075243
476,4945484,15.413985394892418
391,2153152,14.582443373018453
556,54988,10.91487025859131
221,731551,13.502922216765935
893,136869,11.826779542975654
171,87301,11.377117196515815
716,154297,11.946634595518045
711,182256,12.113167571139693
815,76746,11.248256546827447
849,1804112,14.405579061934766
726,69834,11.153876276170031
536,125402,11.739279856017092
748,8271797,15.928362334810267
123,962770,13.777569825286365
386,2570874,14.759756476879055
180,60981,11.018317619227073
161,113404,11.638711943022303
654,12253247,16.32130152105698
453,94750,11.458997122944671
117,1820760,14.414764554307284
599,387794,12.868229549778269
889,143944,11.877179614032354
707,217444,12.289696625095091
827,42484,10.656882813441431
669,2414062,14.696821363822641
462,60935,11.017563001257603
524,238587,12.382489302668743
240,278914,12.538658769559042
134,431310,12.974582368084748
155,160148,11.983853666667097
353,94243,11.453631831995034
139,346483,12.755589034359453
860,958775,13.773411706942936
418,433825,12.980396505958705
60,204742,12.229505928912909
858,1054968,13.869020992678733
558,51867,10.856438028772883
165,106030,11.571477351919846
658,5440186,15.50932380942409
300,2601734,14.771688703774268
214,1156727,13.96110502327786
407,764072,13.546417304545965
468,48051,10.780018225836406
297,2979659,14.907319422403829
394,2070084,14.543099744128362
131,609063,13.319676989617493
314,921317,13.73355944711391
843,2917213,14.886139266410275
684,874967,13.681941450342837
678,1179031,13.980203472642884
804,104408,11.556061579847364
526,215203,12.279337047693046
38,360445,12.795094658187061
249,189047,12.149750940375394
436,159948,11.982604041392019
402,1176711,13.978233816585432
53,257381,12.45831275634588
194,46411,10.745291779083457
136,428429,12.967880309008775
444,119197,11.688532865511437
795,183784,12.121516433972008
281,56476,10.941571048129415
35,413577,12.93259899134577
