,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
0,남산의 부장들,2020-01-22,"33,670,891,220",23.4%,"33,670,891,220","3,874,419","3,874,419","1,659","80,854",한국,한국,(주)쇼박스
1,백두산,2019-12-19,"16,891,094,350",11.8%,"69,796,884,120","1,958,389","8,248,891","1,241","73,893",한국,한국,"씨제이이앤엠(주),(주)덱스터스튜디오"
2,히트맨,2020-01-22,"16,122,374,840",11.2%,"16,122,374,840","1,874,016","1,874,016","1,122","48,942",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,닥터 두리틀,2020-01-08,"13,395,322,970",9.3%,"13,395,322,970","1,598,856","1,598,856","1,290","67,658",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
4,해치지않아,2020-01-15,"9,966,878,950",6.9%,"10,095,111,950","1,186,777","1,201,814","1,216","50,490",한국,한국,(주)에이스메이커무비웍스
5,천문: 하늘에 묻는다,2019-12-26,"8,678,111,110",6.0%,"16,486,354,060","1,029,221","1,994,845",929,"43,039",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
6,미드웨이,2019-12-31,"7,102,189,070",4.9%,"8,187,848,590","818,269","951,642",842,"32,438",미국,미국,(주)누리픽쳐스
7,시동,2019-12-18,"6,853,925,560",4.8%,"28,090,403,360","789,954","3,315,940",825,"34,718",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,미스터 주: 사라진 VIP,2020-01-22,"4,675,193,020",3.3%,"4,681,685,020","555,022","555,962",692,"22,398",한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
9,나쁜 녀석들: 포에버,2020-01-15,"4,785,334,880",3.3%,"4,785,514,880","535,007","535,037",896,"28,775",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
10,스타워즈: 라이즈 오브 스카이워커,2020-01-08,"4,689,609,590",3.3%,"4,697,721,590","505,568","506,192",957,"28,535",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,스파이 지니어스,2020-01-22,"3,172,729,260",2.2%,"3,172,729,260","386,816","386,816",712,"15,889",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,겨울왕국 2,2019-11-21,"3,150,619,070",2.2%,"114,746,867,790","370,607","13,739,671",665,"15,779",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"1,736,631,140",1.2%,"7,036,573,580","219,836","891,958",539,"8,477",한국,한국,씨제이이앤엠(주)
14,포드 V 페라리,2019-12-04,"1,285,057,780",0.9%,"11,897,071,460","141,128","1,349,535",204,"5,145",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
15,나이브스 아웃,2019-12-04,"1,045,821,700",0.7%,"6,694,681,910","119,363","786,774",163,"4,427",미국,미국,(주)올스타엔터테인먼트
16,21 브릿지: 테러 셧다운,2020-01-01,"774,383,700",0.5%,"776,044,700","99,792","99,943",228,"6,479",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
17,타오르는 여인의 초상,2020-01-16,"825,806,028",0.6%,"832,126,028","99,440","100,209",146,"3,412",프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
18,프린스 코기,2019-12-24,"495,860,680",0.3%,"1,524,793,980","70,750","203,708",242,"2,160",벨기에,벨기에,(주)이수C&E
19,눈의 여왕4,2019-12-24,"425,729,620",0.3%,"1,470,304,580","65,267","209,120",271,"2,229",러시아,러시아,(주)넥스트엔터테인먼트월드(NEW)
20,파바로티,2020-01-01,"334,003,278",0.2%,"365,099,278","41,580","45,811",85,"1,801",영국,영국,오드
21,피아니스트의 전설,2020-01-01,"312,761,322",0.2%,"332,985,322","37,354","39,731",69,"1,721",이탈리아,이탈리아,(주)라이크 콘텐츠
22,인셉션,2010-07-21,"249,059,200",0.2%,"43,730,530,200","33,334","5,868,351",216,"1,856",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
23,타발루가와 얼음공주,2020-01-08,"190,654,000",0.1%,"190,654,000","27,330","27,330",304,"2,286",독일,독일,예지림엔터테인먼트
24,캣츠,2019-12-24,"225,823,360",0.2%,"6,318,991,050","27,236","755,564",280,"2,317",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
25,오즈의 마법사: 요술구두와 말하는 책,2020-01-22,"184,215,100",0.1%,"184,215,100","23,127","23,127",252,"1,866",러시아,러시아,(주)박수엔터테인먼트
26,"고흐, 영원의 문에서",2019-12-26,"178,492,550",0.1%,"309,483,510","21,269","37,960",52,"1,099",미국,"미국,프랑스",(주)팝엔터테인먼트
27,울지마 톤즈 2 : 슈크란 바바,2020-01-09,"139,327,440",0.1%,"147,967,440","18,804","19,764",232,"2,190",한국,한국,(주)영화특별시에스엠씨
28,하이큐!! 땅 VS 하늘,2020-01-23,"130,758,120",0.1%,"130,758,120","16,268","16,268",82,915,일본,일본,(주)삼백상회
29,슈퍼 베어,2020-01-15,"105,937,260",0.1%,"105,937,260","15,145","15,145",227,"1,386",미국,미국,와이드 릴리즈(주)
30,두 교황,2019-12-11,"106,817,120",0.1%,"230,816,160","13,433","29,860",15,430,미국,"미국,영국,이탈리아,아르헨티나",판씨네마(주)
31,기생충,2019-05-30,"97,372,680",0.1%,"85,981,336,325","12,512","10,097,787",51,503,한국,한국,씨제이이앤엠(주)
32,사마에게,2020-01-23,"87,055,552",0.1%,"87,656,552","10,940","11,012",75,771,영국,영국,(주)엣나인필름
33,"미안해요, 리키",2019-12-19,"80,666,300",0.1%,"281,505,500","9,968","35,615",56,693,프랑스,프랑스,(주)영화사 진진
34,정직한 후보,2020-02-12,"69,402,000",0.0%,"69,402,000","9,912","9,912",19,46,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
35,스파이즈,2020-01-15,"75,767,560",0.1%,"75,767,560","9,900","9,900",224,"1,318",프랑스,프랑스,(주)팝엔터테인먼트
36,레플리카,2019-09-25,"63,683,000",0.0%,"388,567,230","8,102","49,087",13,87,미국,미국,(주)제이앤씨미디어그룹
37,갱,2020-01-16,"13,785,640",0.0%,"21,608,640","8,009","8,880",53,378,한국,한국,(주)삼백상회
38,나이트 헌터,2020-01-29,"42,051,300",0.0%,"42,051,300","6,812","6,812",141,763,캐나다,캐나다,와이드 릴리즈(주)
39,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,"47,057,500",0.0%,"47,057,500","6,504","6,504",176,642,한국,한국,스마트스터디(주)
40,몽마르트 파파,2020-01-09,"46,613,800",0.0%,"49,244,800","6,277","6,673",42,553,한국,한국,(주)트리플픽쳐스
41,클로젯,2020-02-05,"51,170,000",0.0%,"51,170,000","5,865","5,865",10,27,한국,한국,씨제이이앤엠(주)
42,아내를 죽였다,2019-12-11,"29,437,000",0.0%,"794,209,560","5,795","97,719",16,41,한국,한국,케이티하이텔(주)
