,aud_nationwide
107,4968687
280,56866
689,678091
375,54144
666,3033052
589,661965
423,366442
581,1314274
89,73549
80,90416
573,2424330
907,88055
463,58384
30,573657
10,2314520
310,1111158
182,56515
754,2812310
456,72926
496,946547
397,1675798
665,3491857
157,142456
546,81680
755,2516128
77,98495
770,843703
1,8911437
232,405792
175,76343
398,1634403
370,63800
695,485056
615,174223
308,1153109
4,3872015
432,201365
198,4703245
116,2053085
286,11565078
502,590036
204,2292929
431,232016
174,77621
543,90643
833,41448
71,119518
213,1168268
202,3317196
876,436207
854,1444952
119,1584168
177,63954
722,93691
284,54972
340,146548
13,1891993
227,477848
844,3678156
318,689071
780,412850
567,3783341
767,1157583
457,72849
549,65895
522,318737
459,66074
488,1786383
199,4142912
819,72950
785,323098
129,654102
90,62071
826,49509
126,809327
279,58784
163,111127
111,2839921
653,35870
707,264766
372,59147
890,174938
668,2820029
676,1593386
644,47540
924,34723
72,116444
2,6125154
317,703024
347,119964
288,7118592
12,2191793
309,1124815
683,1002858
858,1144894
108,4875494
429,272736
559,50783
181,58487
843,4573902
900,114796
699,450374
724,86784
42,325016
304,2044564
490,1468301
614,182545
845,3657536
445,117401
515,354601
521,321018
805,116059
525,226933
371,60365
455,78930
338,160860
374,55342
55,248215
729,67368
216,1069436
542,94281
40,344766
426,350129
705,267896
638,55804
817,88054
178,63073
176,66075
812,94119
58,219621
720,108780
409,668576
16,1743774
576,1708672
651,36335
376,53018
637,58340
535,134827
414,501286
452,96462
702,315010
591,540558
626,101173
382,3616250
29,716386
885,210945
343,135094
620,137841
356,86293
779,428009
741,41054
203,2937941
32,503516
772,686809
827,48942
156,156376
857,1176076
334,219047
471,8539495
566,5043771
540,98231
355,89510
3,4565888
787,291328
130,616481
582,1251725
342,139717
775,575353
881,286806
321,596487
222,678368
328,384789
913,59397
441,126384
113,2744413
48,282662
289,7049643
806,104950
206,2007180
578,1387508
285,54450
692,527331
225,554784
612,198013
120,1124918
476,4945484
391,2153152
556,54988
221,731551
896,136869
171,87301
717,154297
712,182256
818,76746
852,1804112
728,69834
536,125402
750,8271797
123,962770
386,2570874
180,60981
161,113404
655,12253247
453,94750
117,1820760
599,387794
