,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,before_news,after_news,holiday,dist_cat
107,인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),B,20150709,summer,개봉영화,장편,미국,777,38015586936.0,12814825236,1594626,애니메이션,전체관람가,일반영화,7.88,"에이미 포엘러,필리스 스미스,민디 캘링",102,9.113006397000001,938,2015,0,0,0,0,1,0,0,67,352,0,B
280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,와이드 릴리즈(주),D,20160602,summer,개봉영화,장편,영국,162,340299000.0,72469500,11999,애니메이션,전체관람가,독립/예술영화,0.0,"하성용,정재헌,엄상현",68,8.451612903,155,2016,0,1,1,25150865,1,0,19,1,8,0,C
688,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,씨제이이앤엠(주),A,20180725,summer,개봉영화,장편,한국,762,5001247250.0,699258600,91723,애니메이션,전체관람가,일반영화,6.0,"조현정,김영은,김채하",68,8.859649122999999,912,2018,0,1,1,626033,1,0,7,14,236,0,A
375,순종,"김동민,이주훈","(재)CBS,(주)영화사 안다미로",C,20161117,autumn,개봉영화,장편,한국,104,382422200.0,98656600,12528,다큐멘터리,전체관람가,독립/예술영화,5.0,"김영화,김은혜,한성국",88,9.636363636,11,2016,0,0,1,423026,2,0,1,30,44,0,C
665,인크레더블 2,브래드 버드,월트디즈니컴퍼니코리아 유한책임회사,B,20180718,summer,개봉영화,장편,미국,1605,24554683588.0,7611573288,880527,애니메이션,전체관람가,일반영화,7.33,"크레이그 T. 넬슨,사무엘 L. 잭슨,홀리 헌터",125,9.346312243,2671,2018,265744,1,0,25755700,1,1,10,106,558,0,B
589,마녀,박훈정,워너브러더스 코리아(주),B,20180627,summer,개봉영화,장편,한국,1117,5547497752.0,1358142852,157575,미스터리,15세이상관람가,일반영화,5.63,"김다미,조민수,박희순",125,8.568734792999999,1644,2018,2957484,0,0,5839131,1,2,4,451,932,0,B
423,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,(주)이수C&E,B,20170104,winter,개봉영화,장편,기타,526,2694247700.0,433186900,54862,애니메이션,전체관람가,독립/예술영화,0.0,"박지윤,엄상현,남도형",90,8.393939394,561,2017,498320,1,1,16044238,1,1,23,175,41,0,B
581,사라진 밤,이창희,씨네그루(주)키다리이엔티,B,20180307,spring,개봉영화,장편,한국,925,10686397316.0,2577142716,309566,스릴러,15세이상관람가,일반영화,4.67,"김상경,김강우,김희애",101,8.142000000000001,500,2018,0,0,1,3673681,1,0,3,725,494,0,B
89,위자,스틸즈 화이트,유니버설픽쳐스인터내셔널 코리아(유),B,20150416,spring,개봉영화,장편,미국,337,570154035.0,143358035,17902,미스터리,15세이상관람가,일반영화,2.0,"올리비아 쿡,다렌 카가소프,아나 코토",89,6.859375,64,2015,0,1,0,9736,1,0,1,25,52,0,B
80,심야식당,마츠오카 조지,(주)영화사 진진,D,20150618,summer,개봉영화,장편,일본,180,711908074.0,351932174,43398,드라마,12세이상관람가,독립/예술영화,6.03,"코바야시 카오루,오다기리 죠",120,8.550724638,138,2015,0,1,0,0,1,0,0,54,108,0,C
