title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original
어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,4/23/2015,spring,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화,6.92,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 헴스워스(토르), 마크 러팔로(브루스 배너 / 헐크)",141,8.193181818,88,2015,17567536,1 [1],1,0
국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),A,12/17/2014,winter,개봉영화,장편,한국,966,69823893034,8911437,16331193634,2033863,드라마,12세이상관람가,일반영화,5.81,"황정민(덕수), 김윤진(영자), 오달수(달구)",126,8.246200608,329,2014,5334561,1 [1],0,0
킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,2/11/2015,winter,개봉영화,장편,미국,706,50333635795,6125154,16707645195,1968882,액션,청소년관람불가,일반영화,7.58,"콜린 퍼스(해리), 태런 에저튼(에그시), 사무엘 L. 잭슨(발렌타인)",128,8.548387097,31,2015,17202955,2 [2],1,0
쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,6/11/2015,summer,개봉영화,장편,미국,1290,40130812071,4565888,11510753371,1243034,액션,12세이상관람가,일반영화,6.63,"크리스 프랫, 브라이스 달라스 하워드, 빈센트 도노프리오",125,8.337789203,1945,2015,4565911,1 [1],0,1
조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,C,2/11/2015,winter,개봉영화,장편,한국,811,30456879428,3872015,6908501928,845522,사극,12세이상관람가,일반영화,5.85,"김명민(명탐정 김민), 오달수(서필), 이연희(히사코)",125,8.172131148,610,2015,10168360,2 [2],1,0
매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,5/14/2015,spring,개봉영화,장편,미국,799,32781268462,3828994,11373970562,1263672,액션,15세이상관람가,일반영화,8.75,"톰 하디(맥스 로켓탄스키), 샤를리즈 테론(임페라토르 퓨리오사), 니콜라스 홀트(눅스)",120,8.889012209,901,2015,4014414,1 [1],0,1
분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,4/1/2015,spring,개봉영화,장편,미국,983,26449334694,3247558,7328474894,864171,액션,15세이상관람가,일반영화,7.08,"빈 디젤(도미닉 토레토), 폴 워커(브라이언 오코너), 드웨인 존슨(루크 홉스)",138,9.294190358,809,2015,22415560,3 [3],0,1
스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),C,3/25/2015,spring,개봉영화,장편,한국,926,23558988686,3044134,5990587486,740243,코미디,15세이상관람가,일반영화,5.88,"김우빈(치호), 준호(동우), 강하늘(경재)",115,8.779516358,703,2015,11501537,3 [3],1,0
빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,1/21/2015,winter,개봉영화,장편,미국,825,21993119765,2801949,6512949165,772249,애니메이션,전체관람가,일반영화,7.16,"다니엘 헤니(테디 아르마다 목소리), 라이언 포터(히로 아르마다 목소리), 스콧 애짓(베이맥스 목소리)",108,9.359840954,1006,2015,8405847,"2 [1, 1]",1,0
극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,C,6/18/2015,summer,개봉영화,장편,한국,894,18338857652,2330813,4800234552,588252,드라마,15세이상관람가,일반영화,7.16,"김윤석(공길용), 유해진(김중산)",108,8.393271462,862,2015,9465112,3 [3],1,0
스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,5/21/2015,spring,개봉영화,장편,미국,665,18385015858,2314520,5381937358,647117,액션,15세이상관람가,일반영화,7.32,"멜리사 맥카시, 주드 로, 제이슨 스타뎀",120,8.889208633,695,2015,2023958,4 [4],0,0
강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,C,1/21/2015,winter,개봉영화,장편,한국,841,17717971499,2192172,4859661899,586992,액션,청소년관람불가,일반영화,5.84,"이민호(종대), 김래원(용기), 정진영(길수)",135,8.053080569,1055,2015,3804726,1 [1],0,0
악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),A,5/14/2015,spring,개봉영화,장편,한국,776,17357873332,2191793,4129615932,497664,스릴러,15세이상관람가,일반영화,5.81,"손현주(최반장(최창식)), 마동석(오형사), 최다니엘(김진규)",102,8.428093645,598,2015,2191793,1 [1],0,0
오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),A,1/14/2015,winter,개봉영화,장편,한국,709,14924654487,1891993,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화,4,"이승기(준수), 문채원(현우), 이서진(동진)",118,8.060514372,661,2015,1891993,1 [1],0,0
연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),C,6/24/2015,summer,개봉영화,장편,한국,1013,14298162159,1872677,3158195559,399170,드라마,12세이상관람가,일반영화,4.94,"김무열(윤영하), 진구(한상국), 이현우(박동혁)",130,9.344880677,1299,2015,1872677,1 [1],1,0
테이큰 3,올리비에 메가턴,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,1/1/2015,winter,개봉영화,장편,미국,616,15088105000,1860934,4082036100,487343,액션,15세이상관람가,일반영화,3.88,"리암 니슨(브라이언 밀스), 팜케 얀센(레니), 매기 그레이스(킴)",112,8.095959596,990,2015,4169530,1 [1],0,1
이미테이션 게임,모튼 틸덤,,(주)미디어로그,메가박스중앙(주)플러스엠,A,2/17/2015,winter,개봉영화,장편,영국,541,13654746120,1743774,4581883920,569958,드라마,15세이상관람가,일반영화,7.25,"베네딕트 컴버배치(앨런 튜링), 키이라 나이틀리(조안 클라크), 매튜 구드(휴 알렉산더)",114,8.726821192,604,2015,3487587,2 [2],1,0
샌 안드레아스,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,6/3/2015,summer,개봉영화,장편,미국,847,14397026552,1712142,3817925452,429180,액션,12세이상관람가,일반영화,4.9,"드웨인 존슨(레이몬드 게인즈), 알렉산드라 다드다리오(블레이크 게인즈), 칼라 구기노(엠마 게인즈)",114,8.426070039,514,2015,5977451,2 [2],0,0
쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,씨제이이앤엠(주),A,2/5/2015,winter,개봉영화,장편,한국,829,13509581911,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화,6.11,"정우(젊은 오근태), 김윤석(오근태), 한효주(젊은 민자영)",122,8.434243176,403,2015,7565055,2 [2],1,0
위플래쉬,데이미언 셔젤,,(주)에이든컴퍼니,(주)쇼박스,C,3/12/2015,spring,개봉영화,장편,미국,436,12426704845,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화,8.44,"마일즈 텔러(앤드류), J.K. 시몬스(플렛처)",106,9.083129584,409,2015,10113218,3 [3],1,0
마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",,씨제이이앤엠(주),씨제이이앤엠(주),A,12/31/2014,winter,개봉영화,장편,미국,615,11450482159,1512340,2764115059,346739,애니메이션,전체관람가,일반영화,6.33,"베네딕트 컴버배치(비밀요원 목소리), 존 말코비치(데이브/옥토브레인 목소리), 톰 맥그라스(스키퍼 목소리)",92,8.681981982,1110,2014,3227050,"2 [1, 1]",0,1
차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,A,4/29/2015,spring,개봉영화,장편,한국,551,11989400678,1472006,3327822078,395351,범죄,청소년관람불가,일반영화,6.03,"김혜수(엄마), 김고은(일영), 엄태구(우곤)",110,7.491289199,574,2015,1826714,2 [2],0,0
장수상회,강제규,"(주)빅픽쳐,씨제이이앤엠(주)",,씨제이이앤엠(주),A,4/9/2015,spring,개봉영화,장편,한국,688,8707389643,1160935,2204750243,284742,멜로/로맨스,12세이상관람가,일반영화,6.36,"박근형(성칠), 윤여정(금님), 조진웅(장수)",112,8.677725118,211,2015,1160935,1 [1],1,0
간신,민규동,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,A,5/21/2015,spring,개봉영화,장편,한국,697,8946618910,1110214,2421410210,289236,사극,청소년관람불가,일반영화,4.97,"주지훈(임숭재), 김강우(이 융), 천호진(임사홍)",131,7.268542199,391,2015,9729747,3 [3],0,0
박물관이 살아있다 : 비밀의 무덤,숀 레비,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,500,8170784606,1101678,2209722306,288421,어드벤처,전체관람가,일반영화,5.67,"벤 스틸러, 로빈 윌리엄스, 댄 스티븐스",98,8.313559322,354,2015,1101678,1 [1],0,0
