,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors,audience_rating,rating_audiences
0,98438,어벤져스: 에이지 오브 울트론,2015,6.92,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 헴스워스(토르), 마크 러팔로(브루스 배너 / 헐크)",141분,조스 웨던,8.612376613515565,5268
1,102875,국제시장,2014,5.81,"황정민(덕수), 김윤진(영자), 오달수(달구)",126분,윤제균,9.272090988626422,1143
2,114249,킹스맨 : 시크릿 에이전트,2015,7.58,"콜린 퍼스(해리), 태런 에저튼(에그시), 사무엘 L. 잭슨(발렌타인)",128분,매튜 본,8.96078431372549,918
3,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors,audience_rating,rating_audiences
4,123596,조선명탐정 : 사라진 놉의 딸,2014,5.85,"김명민(명탐정 김민), 오달수(서필), 이연희(히사코)",125분,김석윤,8.172131147540984,610
5,77768,매드맥스: 분노의 도로,2015,8.75,"톰 하디(맥스 로켓탄스키), 샤를리즈 테론(임페라토르 퓨리오사), 니콜라스 홀트(눅스)",120분,조지 밀러,8.889012208657048,901
6,109905,분노의 질주: 더 세븐,2015,7.08,"빈 디젤(도미닉 토레토), 폴 워커(브라이언 오코너), 드웨인 존슨(루크 홉스)",138분,제임스 완,9.294190358467244,809
7,123277,스물,2014,5.88,"김우빈(치호), 준호(동우), 강하늘(경재)",115분,이병헌,8.779516358463727,703
8,109911,빅 히어로,2014,7.16,"다니엘 헤니(테디 아르마다 목소리), 라이언 포터(히로 아르마다 목소리), 스콧 애짓(베이맥스 목소리)",108분,"돈 홀, 크리스 윌리엄스",9.359840954274354,1006
9,122120,극비수사,2015,7.16,"김윤석(공길용), 유해진(김중산)",108분,곽경택,8.393271461716937,862
10,118950,스파이,-,7.32,"멜리사 맥카시, 주드 로, 제이슨 스타뎀",120분,폴 페이그,8.889208633093526,695
11,103760,강남 1970,2014,5.84,"이민호(종대), 김래원(용기), 정진영(길수)",135분,유하,8.053080568720379,1055
12,122535,악의 연대기,2015,5.81,"손현주(최반장(최창식)), 마동석(오형사), 최다니엘(김진규)",102분,백운학,8.42809364548495,598
13,74027,오늘의 연애,2014,4.00,"이승기(준수), 문채원(현우), 이서진(동진)",118분,박진표,8.06051437216339,661
14,102272,연평해전,2015,4.94,"김무열(윤영하), 진구(한상국), 이현우(박동혁)",130분,김학순,9.344880677444188,1299
15,109982,테이큰 3,2015,3.88,"리암 니슨(브라이언 밀스), 팜케 얀센(레니), 매기 그레이스(킴)",112분,올리비에 메가턴,8.095959595959595,990
16,113348,이미테이션 게임,2014,7.25,"베네딕트 컴버배치(앨런 튜링), 키이라 나이틀리(조안 클라크), 매튜 구드(휴 알렉산더)",114분,모튼 틸덤,8.72682119205298,604
17,90596,샌 안드레아스,2015,4.90,"드웨인 존슨(레이몬드 게인즈), 알렉산드라 다드다리오(블레이크 게인즈), 칼라 구기노(엠마 게인즈)",114분,브래드 페이튼,8.426070038910506,514
18,119966,쎄시봉,2015,6.11,"정우(젊은 오근태), 김윤석(오근태), 한효주(젊은 민자영)",122분,김현석,8.43424317617866,403
19,119632,위플래쉬,2014,8.44,"마일즈 텔러(앤드류), J.K. 시몬스(플렛처)",106분,데이미언 셔젤,9.083129584352077,409
20,114276,마다가스카의 펭귄,2014,6.33,"베네딕트 컴버배치(비밀요원 목소리), 존 말코비치(데이브/옥토브레인 목소리), 톰 맥그라스(스키퍼 목소리)",92분,"에릭 다넬, 사이몬 J. 스미스",8.681981981981982,1110
